id,Created,Last Edited,Last Edited By,Question (deprecated),Question (summary),Question (description - optional),Contributors,Context layer,Question Type (deprecated),Question Type,Resource Type(s),Nested Questions,Nested Question ids,Parent Question,Parent Question id,Notes
1619640840000In what format does the data exist?,"April 28, 2021 1:14 PM","June 11, 2021 1:39 AM",Shreyasha Paudel,In what format does the data exist?,What format is the data in?,"This describes the file format of the data in its final form (e.g., JSON, CSV, XML, etc.).",Katie Morrice,Governance> Data Compliance > Data Disclosure,Short Answer,Short Description,,,,,,Reworded form to format
1620703380000Through what type of format was the data collected?,"May 10, 2021 8:23 PM","June 9, 2021 5:15 PM",Katie Morrice,Through what type of format was the data collected?,How were the original data collected?,"This describes how the original data were collected and the format they were in (e.g., surveys).",Katie Morrice,Data Management Summary > Data Format,Long Answer,Long Description,,,,,,"Ported; how was data collected (e.g., surveys). Do we want to rephrase question or provide more examples?"
1619641140000Is there a stated or documented purpose for this dataset?,"April 28, 2021 1:19 PM","June 9, 2021 5:57 PM",Katie Morrice,Is there a stated or documented purpose for this dataset?,Is there a stated or documented purpose for this dataset?,This is a yes/no question that answers whether or not there is a documented purpose of the dataset.,Katie Morrice,Purpose of Dataset,Yes/No — long,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Please%20describe%20the%20purpose%20for%20this%20dataset%2045452bd62fbc4c8396b9ddfecdc2e477.md,1619641440000Please describe the purpose for this dataset.,,,
1619641440000Please describe the purpose for this dataset.,"April 28, 2021 1:24 PM","June 9, 2021 5:34 PM",Katie Morrice,Please describe the purpose for this dataset.,What is the purpose of the dataset?,"This describes the purpose of the dataset, why it was collected, and how it is intended to be used.",Katie Morrice,Purpose of Dataset,Long Answer,Long Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20a%20stated%20or%20documented%20purpose%20for%20this%20d%20574c038a2c1e4a6996dc66669b564096.md,1619641140000Is there a stated or documented purpose for this dataset?,
"1619657040000Is there any financial gain from the creation, maintenance, distribution, and/or use of the dataset?","April 28, 2021 5:44 PM","June 9, 2021 5:58 PM",Katie Morrice,"Is there any financial gain from the creation, maintenance, distribution, and/or use of the dataset?","Is there any financial gain from the creation, maintenance, distribution, and/or use of the dataset?",This is a yes/no question that answers if there are any financial gains associated with the dataset.,Katie Morrice,Purpose of Dataset > Financial Gain,Yes/No — long,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Describe%20any%20financial%20gain%20associated%20with%20the%20cr%200d17503df01b40e5b820c0380c055499.md,"1619657400000Describe any financial gain associated with the creation, maintenance, distribution, and/or use of the dataset.",,,
"1619657400000Describe any financial gain associated with the creation, maintenance, distribution, and/or use of the dataset.","April 28, 2021 5:50 PM","June 9, 2021 5:20 PM",Katie Morrice,"Describe any financial gain associated with the creation, maintenance, distribution, and/or use of the dataset.","What financial gains are associated with the creation, maintenance, distribution, and/or use of the dataset?","This describes financial gains associated with the dataset, including potential follow-on funding. Monetary outcomes resulting from the creation, distribution, and/or use of the dataset could be described here.",Katie Morrice,Purpose of Dataset > Financial Gain,Long Answer,Long Description,,,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20any%20financial%20gain%20from%20the%20creation,%20mai%2018b60c758afd4ba48c7a9dd3dac3f847.md","1619657040000Is there any financial gain from the creation, maintenance, distribution, and/or use of the dataset?",
"1619657460000Is there any non-financial gain from the creation, maintenance, distribution, and/or use of the dataset?","April 28, 2021 5:51 PM","June 9, 2021 5:58 PM",Katie Morrice,"Is there any non-financial gain from the creation, maintenance, distribution, and/or use of the dataset?","Is there any non-financial gain from the creation, maintenance, distribution, and/or use of the dataset?",This is a yes/no question that answers if there are any non-financial gains associated with the dataset.,Katie Morrice,Purpose of Dataset > Non-financial Gain,Yes/No — long,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Describe%20any%20non-financial%20gain%20associated%20with%20th%20f5bfea6a7fe546b8b89552ef92a4ebfb.md,"1619657460000Describe any non-financial gain associated with the creation, maintenance, distribution, and/or use of the dataset.",,,
"1619657460000Describe any non-financial gain associated with the creation, maintenance, distribution, and/or use of the dataset.","April 28, 2021 5:51 PM","June 9, 2021 5:31 PM",Katie Morrice,"Describe any non-financial gain associated with the creation, maintenance, distribution, and/or use of the dataset.",What non-financial gains are associated with the dataset?,This describes non-financial gains associated with the dataset. This might include organizational endorsements by external groups or providing social value to the organization or relevant communities.,Katie Morrice,Purpose of Dataset > Non-financial Gain,Long Answer,Long Description,,,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20any%20non-financial%20gain%20from%20the%20creation,%202f30487d2f2e446aad0e35b8830fb6b9.md","1619657460000Is there any non-financial gain from the creation, maintenance, distribution, and/or use of the dataset?",
1621549680000Is the dataset connected to or integrated with a network of other data?,"May 20, 2021 3:28 PM","June 9, 2021 5:59 PM",Katie Morrice,Is the dataset connected to or integrated with a network of other data?,Is the dataset connected to or integrated with a network of other data?,This is a yes/no question about whether the dataset is part of a larger collection of related data.,Katie Morrice,Data Management Summary > Data Integration,Yes/No — short,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Please%20provide%20a%20description%20of%20how%20data%20are%20forma%204967fc25b5b54822bf499579b2c78cbc.md,1621549980000Please provide a description of how data are formally integrated.,,,
1621549980000Please provide a description of how data are formally integrated.,"May 20, 2021 3:33 PM","June 9, 2021 5:51 PM",Katie Morrice,Please provide a description of how data are formally integrated.,How are data formally integrated?,This describes whether or not a specific dataset is part of a larger collection and how it is integrated with those other datasets.,Katie Morrice,Data Management Summary > Data Integration,Long Answer,Long Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20the%20dataset%20connected%20to%20or%20integrated%20with%20a%20n%209e930502868f4495bd5a923f033656cc.md,1621549680000Is the dataset connected to or integrated with a network of other data?,
